Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095
IIASA GDP,SSP2_v9_130219,ISL,GDP|PPP per capita,Annual Average Growth [%],,,1.934,1.615,2.296,2.048,1.877,1.683,1.536,1.43,1.391,1.384,1.378,1.327,1.252,1.186,1.137,1.097,1.076,1.042
IIASA GDP,SSP3_v9_130219,ISL,GDP|PPP per capita,Annual Average Growth [%],,,1.99,1.605,2.18,1.797,1.521,1.266,1.09,1.007,1.035,1.023,0.997,0.906,0.769,0.686,0.692,0.76,0.844,0.875
IIASA GDP,SSP4_v9_130219,ISL,GDP|PPP per capita,Annual Average Growth [%],,,2.021,1.71,2.342,1.966,1.649,1.357,1.167,1.06,1.041,1.002,0.967,0.878,0.747,0.667,0.65,0.678,0.747,0.777
IIASA GDP,SSP5_v9_130219,ISL,GDP|PPP per capita,Annual Average Growth [%],,,1.995,1.83,2.577,2.53,2.441,2.25,2.041,1.878,1.786,1.723,1.675,1.588,1.469,1.384,1.337,1.307,1.293,1.278
OECD Env-Growth,SSP1_v9_130325,ISL,GDP|PPP per capita,Annual Average Growth [%],3.122,-1.344,1.367,1.754,1.881,2.003,1.955,1.785,1.57,1.358,1.259,1.211,1.3,1.301,1.23,1.225,1.224,1.187,1.253,1.261
OECD Env-Growth,SSP2_v9_130325,ISL,GDP|PPP per capita,Annual Average Growth [%],3.122,-1.344,1.347,1.706,1.63,1.749,1.768,1.735,1.737,1.561,1.483,1.471,1.521,1.534,1.436,1.34,1.328,1.317,1.328,1.336
OECD Env-Growth,SSP3_v9_130325,ISL,GDP|PPP per capita,Annual Average Growth [%],3.122,-1.344,1.322,1.681,1.493,1.468,1.363,1.326,1.141,0.987,0.934,0.827,0.859,0.889,0.683,0.696,0.595,0.669,0.725,0.684
OECD Env-Growth,SSP4_v9_130325,ISL,GDP|PPP per capita,Annual Average Growth [%],3.122,-1.344,1.326,1.802,1.95,2.073,1.974,1.81,1.527,1.419,1.296,1.316,1.338,1.35,1.238,1.179,1.235,1.207,1.289,1.301
OECD Env-Growth,SSP5_v9_130325,ISL,GDP|PPP per capita,Annual Average Growth [%],3.122,-1.344,1.363,1.88,2.171,2.368,2.404,2.19,2.009,1.845,1.776,1.756,1.873,1.949,1.899,1.878,1.851,1.842,1.861,1.883
IIASA GDP,SSP1_v9_130219,ISR,GDP|PPP per capita,Annual Average Growth [%],,,0.039,-0.815,-0.551,0.295,0.885,1.166,1.212,1.119,0.967,0.973,1.085,1.28,1.445,1.55,1.614,1.652,1.654,1.648
IIASA GDP,SSP2_v9_130219,ISR,GDP|PPP per capita,Annual Average Growth [%],,,0.066,-0.906,-0.769,-0.001,0.599,0.941,1.084,1.096,1.036,1.006,1.023,1.124,1.238,1.323,1.369,1.381,1.372,1.368
IIASA GDP,SSP3_v9_130219,ISR,GDP|PPP per capita,Annual Average Growth [%],,,2.164,1.986,1.8,1.461,1.227,1.117,1.075,1.052,1.024,1.01,0.993,0.998,1.003,1.006,1.004,1.009,1.013,1.018
IIASA GDP,SSP4_v9_130219,ISR,GDP|PPP per capita,Annual Average Growth [%],,,0.102,-0.961,-0.953,-0.339,0.137,0.462,0.643,0.704,0.688,0.712,0.752,0.832,0.893,0.931,0.981,1.04,1.09,1.146
IIASA GDP,SSP5_v9_130219,ISR,GDP|PPP per capita,Annual Average Growth [%],,,-0.045,-0.784,-0.335,0.69,1.365,1.604,1.572,1.446,1.421,1.579,1.774,1.984,2.137,2.223,2.27,2.293,2.286,2.266
OECD Env-Growth,SSP1_v9_130325,ISR,GDP|PPP per capita,Annual Average Growth [%],0.174,1.755,2.054,2.08,2.042,2.094,2.085,1.976,1.781,1.569,1.437,1.391,1.343,1.294,1.236,1.202,1.197,1.216,1.22,1.2
OECD Env-Growth,SSP2_v9_130325,ISR,GDP|PPP per capita,Annual Average Growth [%],0.174,1.755,2.055,2.026,1.832,1.717,1.64,1.62,1.553,1.468,1.427,1.433,1.435,1.409,1.36,1.321,1.307,1.304,1.297,1.284
OECD Env-Growth,SSP3_v9_130325,ISR,GDP|PPP per capita,Annual Average Growth [%],0.174,1.755,2.054,2.018,1.828,1.601,1.394,1.232,1.048,0.891,0.823,0.861,0.863,0.804,0.717,0.671,0.67,0.707,0.742,0.731
OECD Env-Growth,SSP4_v9_130325,ISR,GDP|PPP per capita,Annual Average Growth [%],0.174,1.755,2.055,2.061,2.071,2.121,2.059,1.912,1.729,1.563,1.459,1.44,1.403,1.34,1.265,1.241,1.244,1.264,1.28,1.272
OECD Env-Growth,SSP5_v9_130325,ISR,GDP|PPP per capita,Annual Average Growth [%],0.174,1.755,2.054,2.08,2.14,2.339,2.428,2.352,2.201,2.019,1.918,1.887,1.892,1.908,1.907,1.886,1.88,1.885,1.888,1.886
IIASA GDP,SSP1_v9_130219,ITA,GDP|PPP per capita,Annual Average Growth [%],,,1.65,3.282,4.026,3.524,2.877,2.287,1.849,1.53,1.34,1.223,1.173,1.111,1.04,1.006,1.063,1.117,1.154,1.174
IIASA GDP,SSP2_v9_130219,ITA,GDP|PPP per capita,Annual Average Growth [%],,,1.709,3.329,3.996,3.443,2.79,2.222,1.801,1.491,1.305,1.185,1.107,1.022,0.955,0.92,0.919,0.952,0.98,0.978
IIASA GDP,SSP3_v9_130219,ITA,GDP|PPP per capita,Annual Average Growth [%],,,0.084,0.773,1.372,1.506,1.492,1.434,1.354,1.259,1.217,1.186,1.153,1.105,1.065,1.042,1.057,1.102,1.137,1.144
IIASA GDP,SSP4_v9_130219,ITA,GDP|PPP per capita,Annual Average Growth [%],,,1.759,3.361,4.001,3.421,2.742,2.174,1.77,1.483,1.334,1.249,1.196,1.129,1.058,1.008,0.997,1.042,1.089,1.098
IIASA GDP,SSP5_v9_130219,ITA,GDP|PPP per capita,Annual Average Growth [%],,,1.625,3.336,4.152,3.738,3.163,2.603,2.17,1.837,1.627,1.492,1.444,1.388,1.328,1.298,1.337,1.369,1.39,1.407
OECD Env-Growth,SSP1_v9_130325,ITA,GDP|PPP per capita,Annual Average Growth [%],0.396,-0.823,0.253,1.135,1.289,1.525,1.659,1.635,1.607,1.576,1.576,1.586,1.595,1.528,1.448,1.426,1.414,1.396,1.363,1.318
OECD Env-Growth,SSP2_v9_130325,ITA,GDP|PPP per capita,Annual Average Growth [%],0.396,-0.823,0.253,1.134,1.174,1.206,1.222,1.258,1.343,1.437,1.531,1.6,1.61,1.529,1.452,1.443,1.417,1.409,1.404,1.387
OECD Env-Growth,SSP3_v9_130325,ITA,GDP|PPP per capita,Annual Average Growth [%],0.396,-0.823,0.253,1.114,1.094,0.988,0.849,0.796,0.818,0.892,0.978,1.066,1.084,0.97,0.868,0.884,0.88,0.913,0.942,0.925
OECD Env-Growth,SSP4_v9_130325,ITA,GDP|PPP per capita,Annual Average Growth [%],0.396,-0.823,0.253,1.156,1.31,1.526,1.627,1.601,1.613,1.648,1.682,1.719,1.698,1.571,1.451,1.433,1.393,1.401,1.419,1.399
OECD Env-Growth,SSP5_v9_130325,ITA,GDP|PPP per capita,Annual Average Growth [%],0.396,-0.823,0.253,1.126,1.48,1.949,2.223,2.198,2.181,2.162,2.177,2.2,2.225,2.186,2.131,2.103,2.072,2.033,1.985,1.946
IIASA GDP,SSP1_v9_130219,JAM,GDP|PPP per capita,Annual Average Growth [%],,,1.674,4.2,5.177,4.643,3.544,2.506,1.781,1.342,1.179,1.217,1.313,1.439,1.536,1.601,1.64,1.647,1.662,1.596
IIASA GDP,SSP2_v9_130219,JAM,GDP|PPP per capita,Annual Average Growth [%],,,1.618,3.878,4.649,4.118,3.196,2.35,1.783,1.462,1.293,1.188,1.171,1.237,1.339,1.418,1.465,1.466,1.451,1.422
IIASA GDP,SSP3_v9_130219,JAM,GDP|PPP per capita,Annual Average Growth [%],,,1.522,2.979,3.938,3.756,3.165,2.265,1.613,1.225,1.055,0.967,0.908,0.886,0.914,0.982,1.046,1.082,1.096,1.113
IIASA GDP,SSP4_v9_130219,JAM,GDP|PPP per capita,Annual Average Growth [%],,,1.574,3.594,4.114,3.417,2.469,1.68,1.202,0.954,0.857,0.827,0.816,0.853,0.893,0.911,0.916,0.952,1.003,1.043
IIASA GDP,SSP5_v9_130219,JAM,GDP|PPP per capita,Annual Average Growth [%],,,1.743,4.388,5.49,4.987,3.936,2.959,2.248,1.904,1.874,1.992,2.06,2.135,2.186,2.211,2.221,2.205,2.212,2.133
OECD Env-Growth,SSP1_v9_130325,JAM,GDP|PPP per capita,Annual Average Growth [%],1.171,-0.673,0.781,1.379,2.222,2.933,3.375,3.579,3.614,3.48,3.276,2.96,2.656,2.506,2.297,2.143,2.007,1.909,1.885,1.843
OECD Env-Growth,SSP2_v9_130325,JAM,GDP|PPP per capita,Annual Average Growth [%],1.171,-0.673,0.784,1.332,1.66,1.774,1.87,2.181,2.425,2.539,2.594,2.503,2.457,2.518,2.467,2.423,2.342,2.286,2.224,2.148
OECD Env-Growth,SSP3_v9_130325,JAM,GDP|PPP per capita,Annual Average Growth [%],1.171,-0.673,0.78,1.225,1.157,0.834,0.693,0.926,1.118,1.187,1.243,1.237,1.295,1.479,1.552,1.558,1.507,1.471,1.446,1.424
OECD Env-Growth,SSP4_v9_130325,JAM,GDP|PPP per capita,Annual Average Growth [%],1.171,-0.673,0.783,1.301,1.701,2.028,2.15,2.457,2.695,2.81,2.862,2.743,2.602,2.606,2.518,2.446,2.363,2.296,2.248,2.163
OECD Env-Growth,SSP5_v9_130325,JAM,GDP|PPP per capita,Annual Average Growth [%],1.171,-0.673,0.777,1.448,2.726,3.816,4.369,4.402,4.308,4.096,3.876,3.533,3.217,3.007,2.785,2.688,2.573,2.49,2.51,2.511
IIASA GDP,SSP1_v9_130219,JOR,GDP|PPP per capita,Annual Average Growth [%],,,4.488,5.388,5.254,4.31,3.323,2.583,2.141,1.856,1.682,1.539,1.423,1.317,1.219,1.133,1.081,1.176,1.365,1.552
IIASA GDP,SSP2_v9_130219,JOR,GDP|PPP per capita,Annual Average Growth [%],,,4.387,4.998,4.628,3.664,2.841,2.253,1.924,1.701,1.582,1.477,1.392,1.29,1.181,1.074,0.995,0.935,0.904,0.869
IIASA GDP,SSP3_v9_130219,JOR,GDP|PPP per capita,Annual Average Growth [%],,,4.359,4.529,3.499,2.15,1.385,1.027,0.874,0.779,0.778,0.778,0.784,0.754,0.725,0.711,0.717,0.728,0.736,0.738
IIASA GDP,SSP4_v9_130219,JOR,GDP|PPP per capita,Annual Average Growth [%],,,4.135,4.496,3.648,2.481,1.776,1.437,1.286,1.174,1.158,1.164,1.199,1.172,1.111,1.049,1.013,0.998,0.988,0.97
IIASA GDP,SSP5_v9_130219,JOR,GDP|PPP per capita,Annual Average Growth [%],,,4.46,5.538,5.67,4.971,4.047,3.255,2.731,2.373,2.143,1.97,1.839,1.894,2.103,2.35,2.518,2.58,2.587,2.551
OECD Env-Growth,SSP1_v9_130325,JOR,GDP|PPP per capita,Annual Average Growth [%],4.234,3.164,1.587,3.229,4.609,5.284,5.27,4.891,4.352,3.775,3.329,3.009,2.72,2.414,2.183,2.077,1.911,1.785,1.709,1.633
OECD Env-Growth,SSP2_v9_130325,JOR,GDP|PPP per capita,Annual Average Growth [%],4.234,3.164,1.587,3.134,4.138,4.311,4.124,3.89,3.608,3.275,3.035,2.874,2.716,2.555,2.433,2.338,2.208,2.084,1.982,1.872
OECD Env-Growth,SSP3_v9_130325,JOR,GDP|PPP per capita,Annual Average Growth [%],4.234,3.164,1.587,2.982,3.474,3.209,2.797,2.577,2.319,2.048,1.912,1.889,1.874,1.823,1.777,1.713,1.579,1.485,1.418,1.374
OECD Env-Growth,SSP4_v9_130325,JOR,GDP|PPP per capita,Annual Average Growth [%],4.234,3.164,1.586,3.056,3.643,3.813,3.701,3.598,3.402,3.158,3.009,2.935,2.848,2.743,2.649,2.541,2.374,2.239,2.134,2.067
OECD Env-Growth,SSP5_v9_130325,JOR,GDP|PPP per capita,Annual Average Growth [%],4.234,3.164,1.585,3.24,4.999,5.998,6.148,5.678,5.081,4.453,3.98,3.649,3.356,3.044,2.805,2.68,2.529,2.415,2.352,2.287
IIASA GDP,SSP1_v9_130219,JPN,GDP|PPP per capita,Annual Average Growth [%],,,0.067,0.425,0.934,1.209,1.318,1.325,1.304,1.29,1.269,1.313,1.356,1.345,1.3,1.25,1.301,1.35,1.393,1.413
IIASA GDP,SSP2_v9_130219,JPN,GDP|PPP per capita,Annual Average Growth [%],,,0.085,0.414,0.869,1.091,1.165,1.152,1.127,1.116,1.114,1.139,1.17,1.16,1.121,1.083,1.126,1.161,1.189,1.198
IIASA GDP,SSP3_v9_130219,JPN,GDP|PPP per capita,Annual Average Growth [%],,,-0.34,-0.262,0.163,0.541,0.762,0.875,0.941,1.007,1.071,1.157,1.204,1.2,1.163,1.122,1.133,1.168,1.204,1.216
IIASA GDP,SSP4_v9_130219,JPN,GDP|PPP per capita,Annual Average Growth [%],,,0.202,0.601,1.065,1.195,1.173,1.121,1.108,1.127,1.156,1.207,1.247,1.231,1.162,1.083,1.098,1.125,1.157,1.173
IIASA GDP,SSP5_v9_130219,JPN,GDP|PPP per capita,Annual Average Growth [%],,,0.068,0.513,1.147,1.563,1.788,1.86,1.86,1.831,1.793,1.825,1.878,1.873,1.826,1.765,1.783,1.802,1.824,1.836
OECD Env-Growth,SSP1_v9_130325,JPN,GDP|PPP per capita,Annual Average Growth [%],1.195,0.113,1.19,1.187,1.586,1.812,1.8,1.625,1.585,1.471,1.432,1.436,1.418,1.391,1.328,1.268,1.273,1.263,1.237,1.202
OECD Env-Growth,SSP2_v9_130325,JPN,GDP|PPP per capita,Annual Average Growth [%],1.195,0.113,1.19,1.151,1.365,1.326,1.123,1.012,1.08,1.074,1.134,1.192,1.224,1.247,1.23,1.213,1.259,1.289,1.303,1.304
OECD Env-Growth,SSP3_v9_130325,JPN,GDP|PPP per capita,Annual Average Growth [%],1.195,0.113,1.19,1.135,1.282,1.161,0.797,0.581,0.562,0.502,0.545,0.631,0.674,0.685,0.655,0.661,0.729,0.817,0.906,0.95
OECD Env-Growth,SSP4_v9_130325,JPN,GDP|PPP per capita,Annual Average Growth [%],1.195,0.113,1.19,1.201,1.683,1.993,1.974,1.789,1.762,1.663,1.636,1.622,1.571,1.503,1.398,1.339,1.36,1.375,1.381,1.352
OECD Env-Growth,SSP5_v9_130325,JPN,GDP|PPP per capita,Annual Average Growth [%],1.195,0.113,1.19,1.237,1.904,2.359,2.466,2.235,2.167,2.044,2.009,2.017,2.016,2.019,1.989,1.925,1.909,1.875,1.829,1.801
IIASA GDP,SSP1_v9_130219,KAZ,GDP|PPP per capita,Annual Average Growth [%],,,8.726,4.704,2.973,1.669,1.002,0.772,0.809,0.934,1.118,1.285,1.402,1.472,1.516,1.543,1.556,1.546,1.51,1.498
IIASA GDP,SSP2_v9_130219,KAZ,GDP|PPP per capita,Annual Average Growth [%],,,8.664,4.626,2.828,1.511,0.878,0.685,0.738,0.801,0.917,1.037,1.152,1.226,1.271,1.292,1.283,1.276,1.274,1.285
IIASA GDP,SSP3_v9_130219,KAZ,GDP|PPP per capita,Annual Average Growth [%],,,8.641,4.503,2.666,1.317,0.687,0.49,0.553,0.625,0.72,0.787,0.866,0.935,0.997,1.039,1.064,1.08,1.095,1.105
IIASA GDP,SSP4_v9_130219,KAZ,GDP|PPP per capita,Annual Average Growth [%],,,8.683,4.426,2.427,0.971,0.316,0.192,0.337,0.461,0.577,0.657,0.725,0.761,0.818,0.889,0.962,1.025,1.07,1.104
IIASA GDP,SSP5_v9_130219,KAZ,GDP|PPP per capita,Annual Average Growth [%],,,8.754,4.849,3.256,2.074,1.478,1.291,1.426,1.63,1.85,2.013,2.118,2.166,2.182,2.178,2.158,2.118,2.052,2.011
OECD Env-Growth,SSP1_v9_130325,KAZ,GDP|PPP per capita,Annual Average Growth [%],10.054,5.064,5.086,5.052,5.694,4.312,3.456,2.546,1.705,0.97,0.668,0.79,0.953,0.856,0.642,0.673,0.709,0.783,0.816,0.769
OECD Env-Growth,SSP2_v9_130325,KAZ,GDP|PPP per capita,Annual Average Growth [%],10.054,5.064,5.086,4.918,5.141,3.437,2.589,1.853,1.138,0.496,0.305,0.533,0.824,0.898,0.841,0.931,1.012,1.08,1.105,1.067
OECD Env-Growth,SSP3_v9_130325,KAZ,GDP|PPP per capita,Annual Average Growth [%],10.054,5.064,5.086,4.844,4.958,3.458,2.808,1.903,0.811,-0.349,-0.88,-0.743,-0.365,-0.149,-0.058,0.116,0.255,0.397,0.487,0.5
OECD Env-Growth,SSP4_v9_130325,KAZ,GDP|PPP per capita,Annual Average Growth [%],10.054,5.064,5.086,4.958,5.49,4.3,3.77,2.868,1.816,0.727,0.2,0.296,0.564,0.645,0.592,0.737,0.847,0.978,1.059,1.04
OECD Env-Growth,SSP5_v9_130325,KAZ,GDP|PPP per capita,Annual Average Growth [%],10.054,5.064,5.086,5.173,6.346,5.475,4.906,3.711,2.542,1.474,0.961,1.008,1.192,1.178,1.061,1.15,1.226,1.328,1.38,1.358
IIASA GDP,SSP1_v9_130219,KEN,GDP|PPP per capita,Annual Average Growth [%],,,4.187,5.609,6.595,6.371,5.767,5.191,4.622,4.066,3.541,3.092,2.703,2.406,2.163,1.955,1.778,1.635,1.514,1.409
IIASA GDP,SSP2_v9_130219,KEN,GDP|PPP per capita,Annual Average Growth [%],,,4.009,4.803,5.421,4.908,4.381,3.945,3.586,3.266,3.002,2.769,2.566,2.41,2.267,2.139,2.013,1.882,1.763,1.634
IIASA GDP,SSP3_v9_130219,KEN,GDP|PPP per capita,Annual Average Growth [%],,,3.391,3.11,3.363,2.785,2.258,1.716,1.333,0.928,0.724,0.644,0.634,0.593,0.576,0.567,0.565,0.575,0.573,0.57
IIASA GDP,SSP4_v9_130219,KEN,GDP|PPP per capita,Annual Average Growth [%],,,3.36,3.212,3.599,3.192,2.844,2.5,2.29,2.013,1.896,1.88,1.9,1.861,1.82,1.776,1.734,1.697,1.643,1.587
IIASA GDP,SSP5_v9_130219,KEN,GDP|PPP per capita,Annual Average Growth [%],,,4.219,5.846,7.117,7.158,6.718,6.21,5.627,5.011,4.411,3.887,3.414,3.039,2.721,2.445,2.327,2.425,2.607,2.752
OECD Env-Growth,SSP1_v9_130325,KEN,GDP|PPP per capita,Annual Average Growth [%],0.965,1.927,2.768,3.859,4.87,5.727,6.072,6.034,5.821,5.508,5.157,4.799,4.386,3.944,3.528,3.218,2.945,2.694,2.469,2.248
OECD Env-Growth,SSP2_v9_130325,KEN,GDP|PPP per capita,Annual Average Growth [%],0.965,1.927,2.768,3.531,3.879,3.998,3.885,4,4.073,4.108,4.138,4.1,3.979,3.819,3.621,3.459,3.318,3.167,3.02,2.846
OECD Env-Growth,SSP3_v9_130325,KEN,GDP|PPP per capita,Annual Average Growth [%],0.965,1.927,2.768,3.269,2.822,2.334,1.904,1.941,2.002,2.077,2.2,2.291,2.339,2.316,2.279,2.219,2.153,2.101,2.036,1.969
OECD Env-Growth,SSP4_v9_130325,KEN,GDP|PPP per capita,Annual Average Growth [%],0.965,1.927,2.768,3.244,2.626,2.095,1.443,1.405,1.433,1.498,1.608,1.684,1.718,1.696,1.67,1.629,1.597,1.581,1.562,1.549
OECD Env-Growth,SSP5_v9_130325,KEN,GDP|PPP per capita,Annual Average Growth [%],0.965,1.927,2.768,3.914,5.425,6.865,7.439,7.177,6.756,6.277,5.813,5.383,4.923,4.453,4.023,3.717,3.452,3.214,3.004,2.797
IIASA GDP,SSP1_v9_130219,KGZ,GDP|PPP per capita,Annual Average Growth [%],,,10.624,14.156,13.094,8.808,5.026,2.548,1.321,0.905,0.916,1.075,1.236,1.383,1.488,1.544,1.566,1.555,1.514,1.477
IIASA GDP,SSP2_v9_130219,KGZ,GDP|PPP per capita,Annual Average Growth [%],,,10.632,13.71,12.362,8.204,4.84,2.722,1.646,1.156,1.02,1.043,1.112,1.197,1.271,1.299,1.303,1.295,1.275,1.272
IIASA GDP,SSP3_v9_130219,KGZ,GDP|PPP per capita,Annual Average Growth [%],,,10.55,13.392,11.98,7.885,4.631,2.558,1.502,1.006,0.838,0.82,0.875,0.954,1.024,1.064,1.081,1.088,1.1,1.113
IIASA GDP,SSP4_v9_130219,KGZ,GDP|PPP per capita,Annual Average Growth [%],,,10.64,13.427,11.808,7.501,4.155,2.135,1.159,0.726,0.594,0.616,0.709,0.835,0.95,1.021,1.061,1.084,1.095,1.107
IIASA GDP,SSP5_v9_130219,KGZ,GDP|PPP per capita,Annual Average Growth [%],,,10.697,14.359,13.419,9.183,5.469,3.034,1.916,1.577,1.635,1.793,1.923,2.047,2.134,2.17,2.168,2.13,2.064,2.005
OECD Env-Growth,SSP1_v9_130325,KGZ,GDP|PPP per capita,Annual Average Growth [%],3.426,3.079,4.301,4.049,5.296,5.968,6.068,5.533,4.893,4.227,3.694,3.348,3.066,2.741,2.348,2.16,2.025,1.939,1.824,1.679
OECD Env-Growth,SSP2_v9_130325,KGZ,GDP|PPP per capita,Annual Average Growth [%],3.426,3.079,4.301,3.912,4.571,4.7,4.648,4.393,4.094,3.722,3.449,3.299,3.15,2.935,2.668,2.499,2.385,2.298,2.168,2.015
OECD Env-Growth,SSP3_v9_130325,KGZ,GDP|PPP per capita,Annual Average Growth [%],3.426,3.079,4.304,3.727,3.882,3.644,3.347,3.139,2.899,2.608,2.443,2.412,2.402,2.3,2.112,1.976,1.845,1.758,1.666,1.562
OECD Env-Growth,SSP4_v9_130325,KGZ,GDP|PPP per capita,Annual Average Growth [%],3.426,3.079,4.303,3.744,4.046,3.928,3.472,3.197,2.931,2.625,2.403,2.324,2.223,2.055,1.805,1.7,1.627,1.589,1.527,1.43
OECD Env-Growth,SSP5_v9_130325,KGZ,GDP|PPP per capita,Annual Average Growth [%],3.426,3.079,4.301,4.188,5.981,6.954,7.05,6.276,5.518,4.797,4.256,3.912,3.624,3.275,2.889,2.734,2.599,2.534,2.456,2.329
IIASA GDP,SSP1_v9_130219,KHM,GDP|PPP per capita,Annual Average Growth [%],,,7.854,7.636,7.686,6.345,5.172,4.239,3.552,2.741,2.349,2.126,2.164,2.226,2.181,2.502,2.565,2.513,2.342,2.202
IIASA GDP,SSP2_v9_130219,KHM,GDP|PPP per capita,Annual Average Growth [%],,,7.357,6.944,6.859,5.527,4.442,3.567,2.912,2.222,1.962,1.868,1.993,2.116,2.185,2.139,2.039,1.963,1.881,2.198
IIASA GDP,SSP3_v9_130219,KHM,GDP|PPP per capita,Annual Average Growth [%],,,7.107,6.385,6.149,4.785,3.675,2.644,1.846,1.059,0.735,0.641,0.752,0.84,0.883,0.846,0.824,0.832,0.874,0.907
IIASA GDP,SSP4_v9_130219,KHM,GDP|PPP per capita,Annual Average Growth [%],,,7.207,6.445,6.044,4.571,3.391,2.521,1.9,1.232,0.929,0.797,0.867,0.958,1.024,1.045,1.037,1.056,1.105,1.138
IIASA GDP,SSP5_v9_130219,KHM,GDP|PPP per capita,Annual Average Growth [%],,,7.907,7.811,7.985,6.721,5.635,4.813,4.204,3.409,2.998,2.739,2.707,2.686,2.66,3.197,3.502,3.521,3.271,2.999
OECD Env-Growth,SSP1_v9_130325,KHM,GDP|PPP per capita,Annual Average Growth [%],7.807,5.472,5.659,6.434,6.147,6.178,6.014,5.66,5.296,4.753,4.338,3.875,3.566,3.291,3.004,2.767,2.543,2.368,2.23,2.083
OECD Env-Growth,SSP2_v9_130325,KHM,GDP|PPP per capita,Annual Average Growth [%],7.807,5.472,5.658,6.219,5.092,4.408,3.876,3.792,3.733,3.516,3.45,3.314,3.295,3.237,3.124,2.998,2.882,2.808,2.721,2.62
OECD Env-Growth,SSP3_v9_130325,KHM,GDP|PPP per capita,Annual Average Growth [%],7.807,5.472,5.658,6.033,4.215,3.119,2.349,2.155,2.068,1.783,1.694,1.584,1.637,1.651,1.597,1.489,1.409,1.369,1.368,1.363
OECD Env-Growth,SSP4_v9_130325,KHM,GDP|PPP per capita,Annual Average Growth [%],7.807,5.472,5.659,6.032,4.334,3.255,2.145,1.852,1.722,1.438,1.342,1.185,1.175,1.164,1.105,1.057,1.002,0.995,1.017,1.023
OECD Env-Growth,SSP5_v9_130325,KHM,GDP|PPP per capita,Annual Average Growth [%],7.807,5.472,5.658,6.617,6.976,7.422,7.252,6.589,6.012,5.342,4.861,4.365,4.038,3.753,3.463,3.25,3.037,2.878,2.761,2.625
IIASA GDP,SSP1_v9_130219,KOR,GDP|PPP per capita,Annual Average Growth [%],,,1.308,0.294,0.163,0.599,0.963,1.075,1.159,1.206,1.25,1.271,1.293,1.35,1.408,1.415,1.405,1.39,1.428,1.395
IIASA GDP,SSP2_v9_130219,KOR,GDP|PPP per capita,Annual Average Growth [%],,,1.307,0.25,0.046,0.427,0.769,0.899,0.918,0.91,0.914,0.937,0.99,1.063,1.129,1.167,1.171,1.146,1.13,1.134
IIASA GDP,SSP3_v9_130219,KOR,GDP|PPP per capita,Annual Average Growth [%],,,1.532,0.512,0.205,0.371,0.522,0.575,0.646,0.708,0.77,0.8,0.823,0.856,0.893,0.93,0.959,0.964,0.946,0.925
IIASA GDP,SSP4_v9_130219,KOR,GDP|PPP per capita,Annual Average Growth [%],,,1.44,0.442,0.206,0.42,0.569,0.644,0.766,0.883,0.986,1.026,1.029,1.02,1.014,1.02,1.031,1.025,1.014,0.999
IIASA GDP,SSP5_v9_130219,KOR,GDP|PPP per capita,Annual Average Growth [%],,,1.312,0.404,0.416,0.987,1.43,1.703,1.88,1.944,1.952,1.95,1.977,2.033,2.073,2.046,1.995,1.948,1.958,1.923
OECD Env-Growth,SSP1_v9_130325,KOR,GDP|PPP per capita,Annual Average Growth [%],4.017,3.294,3.542,3.613,3.271,2.795,2.383,1.991,1.715,1.486,1.395,1.193,1.118,1.181,1.141,1.143,1.091,1.042,1.024,1.008
OECD Env-Growth,SSP2_v9_130325,KOR,GDP|PPP per capita,Annual Average Growth [%],4.017,3.294,3.542,3.551,3.068,2.533,2.152,1.906,1.765,1.638,1.598,1.401,1.317,1.35,1.27,1.259,1.211,1.142,1.069,1.054
OECD Env-Growth,SSP3_v9_130325,KOR,GDP|PPP per capita,Annual Average Growth [%],4.017,3.294,3.542,3.462,2.859,2.287,1.801,1.521,1.356,1.207,1.18,1.012,0.954,0.996,0.89,0.894,0.843,0.791,0.732,0.659
OECD Env-Growth,SSP4_v9_130325,KOR,GDP|PPP per capita,Annual Average Growth [%],4.017,3.294,3.542,3.612,3.36,2.948,2.518,2.131,1.905,1.728,1.681,1.498,1.414,1.434,1.323,1.318,1.271,1.226,1.183,1.167
OECD Env-Growth,SSP5_v9_130325,KOR,GDP|PPP per capita,Annual Average Growth [%],4.017,3.294,3.542,3.714,3.605,3.191,2.786,2.375,2.146,1.968,1.919,1.753,1.709,1.797,1.795,1.799,1.745,1.684,1.648,1.638
IIASA GDP,SSP1_v9_130219,KWT,GDP|PPP per capita,Annual Average Growth [%],,,1.116,-0.797,-2.097,-1.826,-0.596,0.435,1.133,1.62,1.929,1.856,1.714,1.607,1.513,1.457,1.407,1.334,1.302,1.319
IIASA GDP,SSP2_v9_130219,KWT,GDP|PPP per capita,Annual Average Growth [%],,,1.07,-0.966,-2.143,-2.091,-0.744,0.345,1.048,1.518,1.83,1.747,1.61,1.495,1.413,1.365,1.329,1.291,1.249,1.217
IIASA GDP,SSP3_v9_130219,KWT,GDP|PPP per capita,Annual Average Growth [%],,,1.147,-1.205,-2.475,-2.365,-1.462,0.275,1.094,1.493,1.72,1.576,1.412,1.278,1.202,1.163,1.143,1.123,1.105,1.086
